id,entPhysicalIndex,entPhysicalDescr,entPhysicalVendorType,entPhysicalContainedIn,entPhysicalClass,entPhysicalParentRelPos,entPhysicalName,entPhysicalHardwareRev,entPhysicalFirmwareRev,entPhysicalSoftwareRev,entPhysicalSerialNum,entPhysicalMfgName,entPhysicalModelName,entPhysicalAlias,entPhysicalAssetID,entPhysicalIsFRU,entPhysicalMfgDate,entPhysicalUris
1,1,stack,.0.0,0,stack,-1,system,,,,,,,,,FALSE,,
2,2,chassis,.0.0,1,chassis,1,chassis-1,,,,,,,chassis-1,,TRUE,,
3,3,slot,.0.0,2,container,1,slot-1,,,,,,,,,FALSE,,
4,4,slot,.0.0,2,container,2,slot-2,,,,,,,,,FALSE,,
5,5,slot,.0.0,2,container,3,slot-3,,,,,,,,,FALSE,,
6,6,slot,.0.0,2,container,4,slot-4,,,,,,,,,FALSE,,
7,7,slot,.0.0,2,container,5,slot-5,,,,,,,,,FALSE,,
8,8,slot,.0.0,2,container,6,slot-6,,,,,,,,,FALSE,,
9,9,SFM6104,.0.0,3,module,1,SFM6104_c1s1,303,,,LAZ-00123-B2,Mercury Computer Systems,400-1138B3-01,,,TRUE,07-D9-09-0E-00-00-00-00,
10,10,LDS6523,.0.0,4,module,1,LDS6523_c1s2,100,,,MFN-00156-B2,"Mercury Systems, Inc.",400-1212B5-01,,,TRUE,07-DC-0B-10-00-00-00-00,
11,11,LDS6523,.0.0,5,module,1,LDS6523_c1s3,100,,,MFN-00154-B2,"Mercury Systems, Inc.",400-1212B5-01,,,TRUE,07-DC-0B-10-00-00-00-00,
12,12,LDS6525,.0.0,6,module,1,LDS6525_c1s4,101,,,MHG-00116-B2,"Mercury Systems, Inc.",420-1231B3-01,,,TRUE,07-DE-03-19-00-00-00-00,
13,13,LDS6525,.0.0,7,module,1,LDS6525_c1s5,100,,,MHG-00100-B2,"Mercury Systems, Inc.",420-1231B1-04,,,TRUE,07-DE-03-19-00-00-00-00,
14,14,LDS6525,.0.0,8,module,1,LDS6525_c1s6,100,,,MHG-00100-B2,"Mercury Systems, Inc.",420-1231B1-04,,,TRUE,07-DE-03-19-00-00-00-00,
